Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,17036,-,-,-,25.65,72.15,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Snow Depth,Wind Speed,
2006,1,1,0,0,0,0,0,0,0,0,2,15.231033541330646,1001.6194458007812,42.22564261109572,175.80683419906217,0,1.5978285074234009,N/A
2006,1,1,1,0,0,0,0,0,0,0,2,14.680380407512587,1001.1417236328125,42.431224466878966,169.32680359792056,0,1.552215337753296,N/A
2006,1,1,2,0,0,0,0,0,0,0,1,14.166836896403595,1000.8414916992188,42.12838148683061,155.88065312611025,0,1.3217467069625854,N/A
2006,1,1,3,0,0,0,0,0,0,0,1,13.679082567306239,1000.5252075195312,43.252562782644134,142.38000968798173,0,1.0282469987869263,N/A
2006,1,1,4,0,0,0,0,0,0,0,1,13.258968842444176,1000.7225341796875,43.67307237854847,128.98020134936633,0,0.8664819002151489,N/A
2006,1,1,5,0,0,0,0,0,0,0,-3,13.366478146653606,1000.166015625,31.675495874678795,115.78707846598566,0,0.7404117584228516,N/A
2006,1,1,6,0,0,0,0,0,0,0,-2,12.915188953244922,1000.3076171875,33.08986608417647,102.86258861741688,0,1.0393434762954712,N/A
2006,1,1,7,0,0,0,0,1,0,1,-2,13.815936513284043,1000.8833618164062,32.86032910259063,90.37052908486301,0,1.3564987182617188,N/A
2006,1,1,8,0,79,340,147,79,340,147,0,17.15005746504272,1001.3849487304688,30.018237365418393,78.55446373673593,0,1.461155652999878,N/A
2006,1,1,9,0,126,573,343,126,573,343,0,20.30385183564539,1002.0462036132812,26.232583184499113,67.76661071090219,0,1.266860008239746,N/A
2006,1,1,10,0,153,692,514,153,692,514,0,24.2983358802814,1001.76318359375,21.2459953905188,58.59785736971777,0,1.588547945022583,N/A
2006,1,1,11,0,168,752,632,168,752,632,0,27.35845180658663,1000.4841918945312,17.505611834425327,51.92440450354113,0,2.233853578567505,N/A
2006,1,1,12,0,174,775,684,174,775,684,0,28.710947694280662,999.24755859375,15.841029020282708,48.78844719353246,0,2.354151487350464,N/A
2006,1,1,13,0,172,766,666,172,766,666,0,28.941050542989785,998.5457763671875,15.43278841406085,49.864920671215714,0,2.4881715774536133,N/A
2006,1,1,14,0,161,724,578,161,724,578,0,28.41324334175016,997.9376831054688,15.395500667389939,54.90583784279266,0,2.6827781200408936,N/A
2006,1,1,15,0,141,638,431,141,638,431,0,27.093379901550463,997.6705932617188,16.56777518867713,62.96238447391316,0,2.617119073867798,N/A
2006,1,1,16,0,106,472,244,106,472,244,0,24.75776504981036,998.0542602539062,19.47734300091102,73.03731111124588,0,2.5888283252716064,N/A
2006,1,1,17,0,34,6,35,41,144,55,0,21.73582402584981,998.5092163085938,23.449826888085212,84.40236652245407,0,2.704251766204834,N/A
2006,1,1,18,0,0,0,0,0,0,0,0,20.57786943648631,999.0877685546875,24.63067208133868,96.59616332364264,0,2.7956173419952393,N/A
2006,1,1,19,0,0,0,0,0,0,0,0,19.58601391604435,999.6287841796875,25.490977462277865,109.32697327500526,0,2.7513749599456787,N/A
2006,1,1,20,0,0,0,0,0,0,0,-1,18.663183181522584,999.9515380859375,26.021859977429635,122.41366523330419,0,2.64050030708313,N/A
2006,1,1,21,0,0,0,0,0,0,0,-1,17.788310414414923,1000.1332397460938,26.149081762065297,135.73427800383348,0,2.5603084564208984,N/A
2006,1,1,22,0,0,0,0,0,0,0,-2,16.94653669433285,999.985107421875,25.928266740698085,149.19754062148257,0,2.5329513549804688,N/A
2006,1,1,23,0,0,0,0,0,0,0,-3,16.146870806476272,999.6782836914062,25.53731783113573,162.7036157796682,0,2.5765304565429688,N/A
2006,1,2,0,0,0,0,0,0,0,0,-4,15.37499057296776,999.475830078125,25.276899436942195,175.63832110039667,0,2.703394889831543,N/A
2006,1,2,1,0,0,0,0,0,0,0,-4,14.58918602109594,999.1749877929688,26.08583781547587,169.42754912969107,0,2.937872886657715,N/A
2006,1,2,2,0,0,0,0,0,0,0,-5,13.776607744882767,999.1649169921875,26.123253805442324,155.9926573465226,0,3.15863299369812,N/A
2006,1,2,3,0,0,0,0,0,0,0,-5,12.988421701175639,998.7025756835938,27.54542644103016,142.48966494281234,0,3.340620994567871,N/A
2006,1,2,4,0,0,0,0,0,0,0,-5,12.27598736779288,998.9591064453125,27.862202487601845,129.08403522005815,0,3.406651258468628,N/A
2006,1,2,5,0,0,0,0,0,0,0,-5,11.650475531656866,999.3943481445312,29.28332963337466,115.86320143375136,0,3.316474199295044,N/A
2006,1,2,6,0,0,0,0,0,0,0,-5,11.123609151987012,999.943359375,29.843819824925927,102.93008454356766,0,3.0962276458740234,N/A
2006,1,2,7,0,0,0,0,1,0,1,-5,11.848724636209056,1000.2827758789062,29.891162962821653,90.42665799691378,0,2.800098180770874,N/A
2006,1,2,8,0,86,293,144,78,331,144,-5,14.467450370860945,1001.0441284179688,24.7539013091512,78.59582395552792,0,2.175928831100464,N/A
2006,1,2,9,0,125,565,339,125,565,339,-4,18.066621551330286,1001.5843505859375,21.763287783437754,67.78794526005349,0,1.6102566719055176,N/A
2006,1,2,10,0,152,686,510,152,686,510,-4,22.060249859898306,1001.7152099609375,17.052566553124738,58.592329151240904,0,1.5370731353759766,N/A
2006,1,2,11,0,167,748,630,167,748,630,-2,23.84365672441993,1000.7371826171875,16.740798785673093,51.88477538799924,0,1.670428991317749,N/A
2006,1,2,12,0,174,775,685,174,775,685,-2,24.55109218432176,999.6463623046875,16.926546431128788,48.71150762513715,0,2.0297257900238037,N/A
2006,1,2,13,0,172,771,670,172,771,670,-1,24.424473551611527,998.9984741210938,17.696261406208826,49.75643700381979,0,2.3916454315185547,N/A
2006,1,2,14,0,162,733,586,162,733,586,-1,23.64830676442091,998.0701904296875,18.854742888757794,54.777950474145605,0,2.6855311393737793,N/A
