Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,17036,-,-,-,25.65,72.15,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Snow Depth,Wind Speed,
2007,1,1,0,0,0,0,0,0,0,0,-10,10.772956062245783,1000.5165405273438,21.39409812601107,175.83930305280396,0,4.091967582702637,N/A
2007,1,1,1,0,0,0,0,0,0,0,-10,10.071612264396379,1000.5030517578125,22.601956633319965,169.30593143797722,0,3.899423360824585,N/A
2007,1,1,2,0,0,0,0,0,0,0,-10,9.488056780768773,1000.2219848632812,23.660099495841443,155.8578107196319,0,3.8095641136169434,N/A
2007,1,1,3,0,0,0,0,0,0,0,-10,8.981266657235665,1000.3287353515625,24.811077141171967,142.3576298292149,0,3.7615208625793457,N/A
2007,1,1,4,0,0,0,0,0,0,0,-9,8.51652547449396,1000.2587280273438,26.18501843109804,128.95891609479077,0,3.7070682048797607,N/A
2007,1,1,5,0,0,0,0,0,0,0,1,12.850434336908052,1001.052001953125,44.553789852200985,115.76752770617401,0,0.7868163585662842,N/A
2007,1,1,6,0,0,0,0,0,0,0,0,12.470587924888662,1001.8810424804688,44.62735756909562,102.84507020673591,0,0.7523176074028015,N/A
2007,1,1,7,0,0,0,0,1,0,1,2,13.357330659322997,1003.04052734375,49.41509314856732,90.35567399968215,0,0.7576146721839905,N/A
2007,1,1,8,0,89,190,127,79,341,146,4,16.058117262468443,1003.8695068359375,44.81162891782249,78.54313914272386,0,0.7186894416809082,N/A
2007,1,1,9,0,137,536,340,127,570,342,4,18.72246269500522,1004.6585693359375,37.908617473308134,67.76007773873067,0,0.597148597240448,N/A
2007,1,1,10,0,205,553,494,154,688,513,4,22.610247778538394,1004.4895629882812,31.768598506904343,58.59779481490479,0,0.9914052486419678,N/A
