Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,17036,-,-,-,25.65,72.15,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Snow Depth,Wind Speed,
2002,1,1,0,0,0,0,0,0,0,0,-2,13.313736568272304,1001.4035034179688,33.98383563635265,175.809360550204,0,2.606987237930298,N/A
2002,1,1,1,0,0,0,0,0,0,0,-2,12.742241121520749,1001.758544921875,34.931918906878956,169.32655468237965,0,2.4559779167175293,N/A
2002,1,1,2,0,0,0,0,0,0,0,-2,12.185470216355725,1001.5776977539062,35.85316865040025,155.88016677430068,0,2.2329366207122803,N/A
2002,1,1,3,0,0,0,0,0,0,0,-2,11.660324770083264,1001.9012451171875,36.74090106303178,142.3795800192765,0,1.9823253154754639,N/A
2002,1,1,4,0,0,0,0,0,0,0,-2,11.148173776930548,1002.079345703125,37.65891632783738,128.97990303480776,0,1.7168586254119873,N/A
2002,1,1,5,0,0,0,0,0,0,0,-8,11.592738381007905,1003.5888061523438,23.784527484724727,115.78698373203072,0,2.7896950244903564,N/A
2002,1,1,6,0,0,0,0,0,0,0,-8,11.149665592983013,1004.3603515625,24.33458630114371,102.86271823524393,0,2.724531412124634,N/A
2002,1,1,7,0,0,0,0,2,1,2,-7,12.094226586873447,1004.9974975585938,24.206554798538956,90.37088251343971,0,2.6005337238311768,N/A
2002,1,1,8,0,75,385,152,77,413,159,-6,15.465658964338104,1005.9118041992188,21.601398091156717,78.55521039207976,0,2.204369306564331,N/A
2002,1,1,9,0,111,639,353,119,647,364,-5,18.75206459301853,1006.1848754882812,18.33542043053516,67.76779445856721,0,1.4241585731506348,N/A
2002,1,1,10,0,130,738,515,143,761,539,-4,22.92192994378115,1005.981689453125,15.690990744390682,58.59956775021752,0,0.8665940761566162,N/A
2002,1,1,11,0,149,768,623,156,818,661,-4,27.007172531503556,1004.9672241210938,11.966043025243787,51.926693434071005,0,0.9373793601989746,N/A
2002,1,1,12,0,152,794,676,161,839,714,-5,29.302751218114565,1004.0628662109375,9.838422372071562,48.791236123092546,0,0.866746723651886,N/A
2002,1,1,13,0,146,802,663,159,832,696,-6,29.7526847072981,1003.3678588867188,9.199074608025215,49.86796611413942,0,0.6367480754852295,N/A
2002,1,1,14,0,169,726,587,150,793,606,-7,29.274854429773768,1002.7713623046875,8.843481959917488,54.90886528195014,0,0.5198740363121033,N/A
2002,1,1,15,0,198,440,398,132,710,455,-7,27.664003191782285,1002.5916748046875,9.676628152891311,62.96522922456335,0,0.6103862524032593,N/A
2002,1,1,16,0,121,40,133,100,547,260,1,24.06402469943862,1002.9598388671875,22.309103344811724,73.03991744811623,0,1.0652930736541748,N/A
2002,1,1,17,0,34,0,34,41,199,61,-4,21.698160979238196,1003.46630859375,16.305634749822488,84.40473577128117,0,1.613426685333252,N/A
2002,1,1,18,0,0,0,0,0,0,0,-5,20.54716585461972,1004.0400390625,16.682332086090963,96.59832861262333,0,1.9524227380752563,N/A
2002,1,1,19,0,0,0,0,0,0,0,-7,19.65042007652187,1004.634033203125,15.139101538345837,109.32895273489454,0,2.1607773303985596,N/A
2002,1,1,20,0,0,0,0,0,0,0,-7,18.807232020606932,1004.5736694335938,16.530790775429452,122.41548481874116,0,2.274157762527466,N/A
2002,1,1,21,0,0,0,0,0,0,0,-8,17.994621446974577,1004.4119873046875,15.931666381393173,135.73596672943688,0,2.367124319076538,N/A
2002,1,1,22,0,0,0,0,0,0,0,-7,17.161864674688786,1004.3312377929688,17.489091521513753,149.19914341504818,0,2.468473434448242,N/A
2002,1,1,23,0,0,0,0,0,0,0,-8,16.345164489724596,1004.3807373046875,17.45133594579062,162.70525489658934,0,2.557628870010376,N/A
2002,1,2,0,0,0,0,0,0,0,0,-7,15.551132765654302,1004.6791381835938,19.311723883454647,175.640975824657,0,2.5898377895355225,N/A
2002,1,2,1,0,0,0,0,0,0,0,-8,14.74977827976653,1004.5302124023438,19.215639740542642,169.42746441266414,0,2.548255443572998,N/A
2002,1,2,2,0,0,0,0,0,0,0,-7,13.985992009765653,1004.0199584960938,21.185878032639526,155.99229019805787,0,2.416710138320923,N/A
2002,1,2,3,0,0,0,0,0,0,0,-8,13.285368444027824,1003.9830932617188,21.06397134685427,142.48935294088105,0,2.279571533203125,N/A
2002,1,2,4,0,0,0,0,0,0,0,-7,12.666217625855893,1003.9495239257812,23.19582778359014,129.08386243214966,0,2.227762460708618,N/A
2002,1,2,5,0,0,0,0,0,0,0,-8,12.150339234711566,1004.2199096679688,22.49921558690668,115.86321781882359,0,2.248307228088379,N/A
2002,1,2,6,0,0,0,0,0,0,0,-8,11.73458152530128,1004.9085693359375,24.25830275583231,102.93033766616485,0,2.30249285697937,N/A
2002,1,2,7,0,0,0,0,2,0,2,-8,12.687778490228993,1005.7438354492188,22.244564481384486,90.42718964581549,0,2.3439621925354004,N/A
2002,1,2,8,0,76,383,152,76,406,156,-6,15.943162401609584,1006.5801391601562,20.145642858533993,78.59673400473037,0,2.1856818199157715,N/A
2002,1,2,9,0,110,638,352,118,641,361,-6,19.15246761497059,1007.1876831054688,17.31518584119443,67.78930781192324,0,1.623049020767212,N/A
2002,1,2,10,0,142,756,536,142,756,536,-5,23.271940555905815,1006.8884887695312,14.773490425343262,58.59423840108865,0,1.2272193431854248,N/A
2002,1,2,11,0,156,813,658,156,813,658,-5,27.197439462154705,1005.9989624023438,11.340578573448628,51.88728055169364,0,1.110915184020996,N/A
