Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,20012,-,-,-,26.25,73.05,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Snow Depth,Wind Speed,
2006,1,1,0,0,0,0,0,0,0,0,4,13.503782553353915,988.179443359375,54.45690888715008,175.96577428649005,0,0.5450581312179565,N/A
2006,1,1,1,0,0,0,0,0,0,0,5,12.977731049434396,987.7017211914062,59.107398176792984,168.4068418144667,0,0.667785108089447,N/A
2006,1,1,2,0,0,0,0,0,0,0,4,12.477777652424663,987.4014892578125,57.14858326615951,155.0612226530405,0,0.7625203728675842,N/A
2006,1,1,3,0,0,0,0,0,0,0,5,12.017838783872548,987.085205078125,63.64743308598797,141.6243736186759,0,0.776183009147644,N/A
2006,1,1,4,0,0,0,0,0,0,0,5,11.63415283525552,987.2825317382812,63.89469537828665,128.28364511154848,0,0.7439736723899841,N/A
2006,1,1,5,0,0,0,0,0,0,0,1,12.95307946508683,987.365966796875,45.659522333808845,115.15361061038979,0,0.3432815670967102,N/A
2006,1,1,6,0,0,0,0,0,0,0,0,12.523924239076962,987.82763671875,44.668804335819424,102.30296562097804,0,0.8684979677200317,N/A
2006,1,1,7,0,0,0,0,3,2,3,0,13.545224881115132,988.0833129882812,39.817085387042155,89.9023854738241,0,1.4498776197433472,N/A
2006,1,1,8,0,85,334,154,79,374,156,-1,16.974312679321713,988.5849609375,28.347042719417253,78.20197158714572,0,1.830807089805603,N/A
2006,1,1,9,0,122,601,351,122,601,351,-1,20.455646765249526,988.9262084960938,22.16990806434513,67.56790575405807,0,1.679007887840271,N/A
2006,1,1,10,0,142,707,511,146,714,518,-1,25.266812448185476,988.6431884765625,16.495771797766075,58.603215815066434,0,1.7727715969085693,N/A
2006,1,1,11,0,155,760,621,159,770,632,-1,28.016610036863483,987.3641967773438,14.251012582653146,52.186908091078784,0,2.0927693843841553,N/A
2006,1,1,12,0,159,782,669,164,791,680,-1,29.24107373367724,985.8075561523438,13.362510834516666,49.33085056457475,0,2.1734631061553955,N/A
2006,1,1,13,0,162,781,657,162,781,657,-1,29.516662543738562,984.7857666015625,13.172192725153792,50.643847465327546,0,2.120837688446045,N/A
2006,1,1,14,0,151,737,566,151,737,566,-1,28.88930565205203,984.177734375,13.6683242611848,55.83151451827427,0,2.2741305828094482,N/A
2006,1,1,15,0,140,600,404,132,647,416,-1,27.478257354115385,983.9105834960938,14.973938743577293,63.95378999526703,0,2.501358985900879,N/A
2006,1,1,16,0,101,461,228,97,473,228,0,24.79060832062123,983.9743041992188,18.397386402825987,74.0447015631548,0,2.522928476333618,N/A
2006,1,1,17,0,27,0,27,33,122,43,0,21.608725242914545,984.7492065429688,23.648943134317477,85.40001155940199,0,2.9451043605804443,N/A
2006,1,1,18,0,0,0,0,0,0,0,0,20.342934179864642,985.6477661132812,25.153772769094097,97.5719367292576,0,3.309807777404785,N/A
2006,1,1,19,0,0,0,0,0,0,0,0,19.194294019355482,986.1887817382812,26.66099538349383,110.27411821624949,0,3.373948812484741,N/A
2006,1,1,20,0,0,0,0,0,0,0,0,18.100941414558406,986.5115356445312,28.50741137252809,123.32760923030952,0,3.1622211933135986,N/A
2006,1,1,21,0,0,0,0,0,0,0,0,17.091870511809077,986.6932373046875,30.696756847978456,136.60958979262645,0,2.7992608547210693,N/A
2006,1,1,22,0,0,0,0,0,0,0,0,16.16179066239596,986.2251586914062,32.71141843040251,150.02329932838867,0,2.4780118465423584,N/A
2006,1,1,23,0,0,0,0,0,0,0,0,15.245727883321706,985.9182739257812,34.49774601683226,163.44273293572775,0,2.271446704864502,N/A
2006,1,2,0,0,0,0,0,0,0,0,0,14.393261823049443,985.7158203125,35.87949970272976,175.8035358475285,0,2.17012619972229,N/A
2006,1,2,1,0,0,0,0,0,0,0,0,13.567793668728427,985.7349853515625,36.757726949764056,168.50253697718878,0,2.1840105056762695,N/A
2006,1,2,2,0,0,0,0,0,0,0,-1,12.766601923450992,985.4049072265625,37.4378492540473,155.17007954190444,0,2.2185914516448975,N/A
