Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,20012,-,-,-,26.25,73.05,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Snow Depth,Wind Speed,
2014,1,1,0,0,0,0,0,0,0,0,-3,12.735945655857677,986.0905151367188,32.80574944431192,175.96015751961076,0,4.1228203773498535,N/A
2014,1,1,1,0,0,0,0,0,0,0,-2,12.00443267595466,986.2422485351562,35.47864113267632,168.40711182739972,0,4.251131057739258,N/A
2014,1,1,2,0,0,0,0,0,0,0,-2,11.2761506349662,986.0380249023438,38.45857416672075,155.06204440699085,0,4.189603805541992,N/A
2014,1,1,3,0,0,0,0,0,0,0,-1,10.630889403134972,985.7835693359375,41.754360710061825,141.62511488678268,0,4.074298858642578,N/A
2014,1,1,4,0,0,0,0,0,0,0,-1,10.107398788648425,986.0928955078125,45.36596568265549,128.2841376952833,0,3.975736379623413,N/A
2014,1,1,5,0,0,0,0,0,0,0,-9,5.351528149254875,991.0362548828125,32.9455483575927,115.1536996453635,0,3.2696850299835205,N/A
2014,1,1,6,0,0,0,0,0,0,0,-8,5.010075833086091,991.4672241210938,36.01042065307162,102.30260567626645,0,3.1156561374664307,N/A
2014,1,1,7,0,0,0,0,3,7,3,-7,6.2487487574626925,991.9419555664062,35.33323943620413,89.90133036358343,0,2.9780590534210205,N/A
2014,1,1,8,0,87,326,154,85,389,165,-7,9.764821143732433,992.9290161132812,27.790920135664248,78.20032936501633,0,2.454364061355591,N/A
2014,1,1,9,0,128,578,349,136,607,368,-7,13.6194775432308,993.631591796875,22.86277820775586,67.56540162698506,0,1.7712438106536865,N/A
