Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,20012,-,-,-,26.25,73.05,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Snow Depth,Wind Speed,
2004,1,1,0,0,0,0,0,0,0,0,0,12.56463840269015,984.1138916015625,43.46893538773199,175.90308268745588,0,3.3353431224823,N/A
2004,1,1,1,0,0,0,0,0,0,0,0,11.915187808238272,984.1775512695312,45.73630075890913,168.44592488418314,0,3.0175437927246094,N/A
2004,1,1,2,0,0,0,0,0,0,0,0,11.362746756268393,984.0621948242188,47.62920807819304,155.10520401669982,0,2.86968994140625,N/A
2004,1,1,3,0,0,0,0,0,0,0,0,10.877491579060575,984.2801513671875,49.40050656305607,141.66769566811962,0,2.8117783069610596,N/A
2004,1,1,4,0,0,0,0,0,0,0,0,10.42735268046772,984.7678833007812,51.04036674110306,128.32483332774422,0,2.819462299346924,N/A
2004,1,1,5,0,0,0,0,0,0,0,3,11.60648716509911,987.5254516601562,55.96414480652755,115.11500463778403,0,2.061713933944702,N/A
2004,1,1,6,0,0,0,0,0,0,0,3,11.278526071350143,987.9494018554688,56.86812152278634,102.26864947403693,0,1.8104710578918457,N/A
2004,1,1,7,0,0,0,0,3,2,3,1,12.370529133017897,988.8362426757812,48.79285367203481,89.87372417002898,0,1.6541900634765625,N/A
2004,1,1,8,0,91,224,137,80,372,156,1,15.297722477750256,989.7955932617188,39.45165401121059,78.18079816625021,0,1.370631217956543,N/A
2004,1,1,9,0,133,565,349,124,597,352,0,18.086201624680427,990.8711547851562,31.422240684765473,67.55686109867344,0,1.0063585042953491,N/A
