Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,21004,-,-,-,26.45,73.35,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Snow Depth,Wind Speed,
2010,1,1,0,0,0,0,0,0,0,0,0,9.748013156347213,982.7072143554688,52.61206980870593,175.95906598578046,0,2.1144542694091797,N/A
2010,1,1,1,0,0,0,0,0,0,0,0,9.184164652510674,982.4886474609375,53.83067270913834,168.0986716957564,0,2.1574177742004395,N/A
2010,1,1,2,0,0,0,0,0,0,0,0,8.659788081332806,982.3815307617188,55.12798720366773,154.7874302441251,0,2.054332733154297,N/A
2010,1,1,3,0,0,0,0,0,0,0,0,8.181330117336643,982.205078125,56.214380126515884,141.37261277670052,0,1.9124424457550049,N/A
2010,1,1,4,0,0,0,0,0,0,0,0,7.752723873069385,982.4845581054688,57.32253240137799,128.05209061728416,0,1.8154312372207642,N/A
2010,1,1,5,0,0,0,0,0,0,0,-1,11.094125636256194,983.9271850585938,40.378650522197944,114.94345753481589,0,2.8350589275360107,N/A
2010,1,1,6,0,0,0,0,0,0,0,-1,10.65065991816914,984.6958618164062,43.93279338244757,102.11778655507868,0,3.0120444297790527,N/A
2010,1,1,7,0,0,0,0,4,9,4,0,11.769308509476389,985.3759765625,42.96879724097511,89.74799884843237,0,3.1582188606262207,N/A
2010,1,1,8,0,81,374,159,79,406,163,0,15.063598866318102,986.0492553710938,36.10871258080105,78.08658331528402,0,2.853433847427368,N/A
2010,1,1,9,0,118,613,353,122,624,361,0,19.20901439383499,986.3215942382812,28.25428479927423,67.50416479911348,0,2.4092624187469482,N/A
2010,1,1,10,0,141,710,511,146,734,529,-1,24.63525068135141,986.0692749023438,17.80988097615905,58.60769973893634,0,2.710858106613159,N/A
2010,1,1,11,0,146,789,629,160,789,643,-2,27.39602545526128,985.1840209960938,14.227969322185091,52.27671653751246,0,2.3611788749694824,N/A
2010,1,1,12,0,150,807,674,165,808,690,-2,28.815705344050286,983.9443359375,12.732338452184594,49.512569066578784,0,1.8500827550888062,N/A
2010,1,1,13,0,162,798,665,162,798,665,-2,29.283598182904598,983.3189086914062,12.098038378458863,50.90246518565278,0,1.3884086608886719,N/A
2010,1,1,14,0,151,754,572,151,754,572,-3,28.804471945456214,982.64404296875,12.264371350722419,56.137594746219186,0,0.9722756743431091,N/A
2010,1,1,15,0,131,665,420,131,665,420,-3,27.304861256645154,982.5023803710938,13.31003936294977,64.28110904091542,0,0.6901636123657227,N/A
2010,1,1,16,0,103,422,217,96,492,228,-2,24.225412550565977,982.5506591796875,16.37766933561781,74.37713936405474,0,1.1367323398590088,N/A
2010,1,1,17,0,17,0,17,30,140,41,-3,21.234635210928957,982.5321044921875,18.544681655932248,85.7291311077397,0,2.2864747047424316,N/A
2010,1,1,18,0,0,0,0,0,0,0,-4,20.340850176670983,983.1237182617188,19.005694528973326,97.89373903035661,0,3.3924591541290283,N/A
2010,1,1,19,0,0,0,0,0,0,0,-4,19.466202071969747,983.2889404296875,19.905212547367686,110.58624686221324,0,4.145015239715576,N/A
2010,1,1,20,0,0,0,0,0,0,0,-4,18.284959463559574,983.6326904296875,21.551771041287132,123.6283858604275,0,4.538148880004883,N/A
2010,1,1,21,0,0,0,0,0,0,0,-3,16.955198586369477,983.7042236328125,23.90551694307933,136.89690836632053,0,4.638068675994873,N/A
2010,1,1,22,0,0,0,0,0,0,0,-3,15.786843197752603,983.8856811523438,26.42071977080128,150.2927938660593,0,4.590246677398682,N/A
2010,1,1,23,0,0,0,0,0,0,0,-3,14.844604614473042,983.7296142578125,28.585100616748043,163.67911836666832,0,4.51919412612915,N/A
2010,1,2,0,0,0,0,0,0,0,0,-3,14.059023708720076,983.5181274414062,30.49904223376958,175.80092232516196,0,4.421626091003418,N/A
2010,1,2,1,0,0,0,0,0,0,0,-2,13.360560745345992,983.3348388671875,32.20217032403121,168.1926380840269,0,4.283802509307861,N/A
2010,1,2,2,0,0,0,0,0,0,0,-2,12.704153412700578,983.3135986328125,34.07990098875977,154.89513269353336,0,4.074520587921143,N/A
2010,1,2,3,0,0,0,0,0,0,0,-2,12.134931698630169,982.865966796875,35.92832519138204,141.47888116328764,0,3.9121837615966797,N/A
2010,1,2,4,0,0,0,0,0,0,0,-2,11.66208449627851,982.8416137695312,37.73477340379232,128.15287622780644,0,3.8357129096984863,N/A
2010,1,2,5,0,0,0,0,0,0,0,-2,11.246956766587175,983.1630249023438,39.53046471959155,115.0171626257314,0,3.790820837020874,N/A
2010,1,2,6,0,0,0,0,0,0,0,-1,10.88087625764149,983.6076049804688,41.36271805581392,102.18276733303917,0,3.731510877609253,N/A
2010,1,2,7,0,0,0,0,4,7,4,-1,11.841094008778498,984.3607788085938,39.72791474580814,89.80144761619124,0,3.620403289794922,N/A
2010,1,2,8,0,77,388,157,77,388,157,-1,14.908276039913915,985.1392822265625,33.075684483634426,78.12485061452023,0,3.184957981109619,N/A
2010,1,2,9,0,120,602,350,120,602,350,-1,19.497584401168808,985.8472290039062,25.061421958263143,67.52194836179159,0,2.8275434970855713,N/A
2010,1,2,10,0,144,708,513,144,708,513,0,24.713990169457816,985.7366943359375,18.937776705999216,58.59820724785408,0,3.1280360221862793,N/A
2010,1,2,11,0,157,760,623,157,760,623,1,27.44447322872594,984.8753051757812,18.133607129416262,52.23311556636163,0,2.8647139072418213,N/A
2010,1,2,12,0,162,776,667,162,776,667,2,28.97021765615102,984.1113891601562,18.411652078385824,49.4324615203697,0,2.449638843536377,N/A
2010,1,2,13,0,159,763,642,159,763,642,3,29.509036026367312,983.2843627929688,19.26472687059825,50.792165431741324,0,2.104727268218994,N/A
2010,1,2,14,0,148,718,550,148,718,550,4,29.056001970890804,983.0831909179688,20.875168039112864,56.00896945490648,0,1.730149745941162,N/A
2010,1,2,15,0,216,151,282,128,630,403,4,27.78970678640144,982.849365234375,23.25087427900292,64.14448027312392,0,1.3383445739746094,N/A
2010,1,2,16,0,132,127,167,93,461,219,5,25.192174606387425,983.46044921875,27.76712268199365,74.23866905440005,0,0.9094452857971191,N/A
2010,1,2,17,0,8,0,8,30,129,40,5,22.469812816515514,983.8742065429688,32.819411251816675,85.5918788795802,0,0.9278457760810852,N/A
2010,1,2,18,0,0,0,0,0,0,0,5,21.584247097058153,984.1869506835938,34.045607116899234,97.75893138296745,0,1.490430235862732,N/A
2010,1,2,19,0,0,0,0,0,0,0,4,20.838524041864673,984.7593383789062,34.28629399235283,110.45437645064126,0,2.194192409515381,N/A
2010,1,2,20,0,0,0,0,0,0,0,3,20.050407927740878,984.9674072265625,34.14894231908278,123.4994277969878,0,2.805148124694824,N/A
2010,1,2,21,0,0,0,0,0,0,0,3,19.11425240521055,985.2283325195312,34.34789466404563,136.77043005629284,0,3.3035905361175537,N/A
2010,1,2,22,0,0,0,0,0,0,0,2,17.978983388371773,984.7755737304688,35.802793876637715,150.16760412969825,0,3.5998904705047607,N/A
2010,1,2,23,0,0,0,0,0,0,0,2,16.907935964757712,984.387451171875,37.83784093044027,163.55136230663584,0,3.71526837348938,N/A
2010,1,3,0,0,0,0,0,0,0,0,2,16.248108788759907,984.3971557617188,39.22531225017315,175.66692086076088,0,3.7082197666168213,N/A
2010,1,3,1,0,0,0,0,0,0,0,2,15.882632452845257,984.1495361328125,40.221660280438684,168.26249108821622,0,3.5859174728393555,N/A
2010,1,3,2,0,0,0,0,0,0,0,2,15.52789278338895,984.0904541015625,41.56546339706263,154.97763340149442,0,3.209763765335083,N/A
2010,1,3,3,0,0,0,0,0,0,0,2,15.14959732896267,983.8029174804688,43.28750936146102,141.56035145040386,0,2.733625888824463,N/A
2010,1,3,4,0,0,0,0,0,0,0,3,14.77702037610237,983.799560546875,45.211621483964734,128.22972372432625,0,2.2711939811706543,N/A
2010,1,3,5,0,0,0,0,0,0,0,3,14.464896308525226,984.3010864257812,47.77602990058878,115.08713153377182,0,1.8166266679763794,N/A
2010,1,3,6,0,0,0,0,0,0,0,4,14.000112443916294,985.1421508789062,53.296641323424396,102.24359014135355,0,1.3960363864898682,N/A
2010,1,3,7,0,0,0,0,3,5,3,6,13.717007410939402,986.0195922851562,61.66433550893961,89.85024718745531,0,1.1410667896270752,N/A
2010,1,3,8,0,75,11,78,74,351,146,8,14.38426374441525,986.7657470703125,66.60152389429179,78.15784238481483,0,0.8202124238014221,N/A
2010,1,3,9,0,180,225,266,116,560,330,9,15.94411911347612,987.5582885742188,66.49919593380173,67.53376943450957,0,0.19723179936408997,N/A
2010,1,3,10,0,258,226,376,140,668,489,10,17.212085057902414,987.0364379882812,65.61744046739699,58.582042785196435,0,0.40538984537124634,N/A
2010,1,3,11,0,154,724,598,154,724,598,11,17.730988273479227,986.2711791992188,67.35590811395178,52.182271321593085,0,0.8213402032852173,N/A
2010,1,3,12,0,318,159,422,159,745,645,12,18.390477470290534,985.523193359375,67.72839175438844,49.344962952035196,0,1.0994027853012085,N/A
2010,1,3,13,0,148,0,148,157,738,624,12,18.39851522943934,984.6019287109375,68.65804534194325,50.674965530235575,0,1.38334321975708,N/A
2010,1,3,14,0,147,699,539,147,699,539,12,18.620011634529703,984.2197265625,68.00631004456173,55.87443366178429,0,1.676405668258667,N/A
2010,1,3,15,0,203,90,243,127,618,398,12,18.68675536809775,984.3705444335938,67.16709791484826,64.00307469275498,0,2.0102698802948,N/A
2010,1,3,16,0,50,0,50,94,459,219,12,17.58164748493448,984.7288208007812,70.66494245894117,74.09645931001151,0,2.3428966999053955,N/A
2010,1,3,17,0,22,0,22,31,134,41,11,15.631858040563998,985.4126586914062,78.69880377617713,85.4517314438026,0,2.705528736114502,N/A
2010,1,3,18,0,0,0,0,0,0,0,11,14.818900888716712,986.2813720703125,81.4686144761158,97.6219860797732,0,2.9957616329193115,N/A
2010,1,3,19,0,0,0,0,0,0,0,11,14.197022648566588,987.013671875,83.41609289567887,110.32093886601982,0,3.127953290939331,N/A
