Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,21004,-,-,-,26.45,73.35,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Snow Depth,Wind Speed,
2004,1,1,0,0,0,0,0,0,0,0,0,12.36909277411769,980.2738647460938,43.36235360029281,175.9010966586112,0,3.244093418121338,N/A
2004,1,1,1,0,0,0,0,0,0,0,0,11.648794303133684,980.6575317382812,45.51237650159234,168.13705381551978,0,2.8120999336242676,N/A
2004,1,1,2,0,0,0,0,0,0,0,0,11.056956473331809,980.5421752929688,47.437151790669866,154.83063161209577,0,2.564842700958252,N/A
2004,1,1,3,0,0,0,0,0,0,0,0,10.559718827746224,980.7601318359375,49.248489002052864,141.41527200908826,0,2.4154980182647705,N/A
2004,1,1,4,0,0,0,0,0,0,0,0,10.120236047597075,981.2478637695312,50.949419058915645,128.09276880628005,0,2.400874137878418,N/A
2004,1,1,5,0,0,0,0,0,0,0,0,11.026163418436568,984.0054321289062,49.62892103388649,114.90510358718616,0,2.3966312408447266,N/A
2004,1,1,6,0,0,0,0,0,0,0,0,10.610133851486182,984.429443359375,49.07926067892741,102.08395843866525,0,2.1592278480529785,N/A
2004,1,1,7,0,0,0,0,4,4,4,1,11.79356610563633,985.3162231445312,50.34653618335325,89.72015306101862,0,1.9906879663467407,N/A
2004,1,1,8,0,86,304,149,80,377,159,1,14.889924832766326,986.2755737304688,40.15501879809978,78.06660447844068,0,1.6662232875823975,N/A
2004,1,1,9,0,126,570,345,124,600,354,0,17.67163754663966,987.3511352539062,29.654099888847384,67.49480346162107,0,1.1978247165679932,N/A
2004,1,1,10,0,151,675,503,149,713,520,0,21.583904082726633,987.1339721679688,23.396771996052042,58.612475412686294,0,1.5470649003982544,N/A
2004,1,1,11,0,168,743,623,162,769,633,0,23.804986700743825,986.5335693359375,19.82273683617689,52.29916287217274,0,1.895236849784851,N/A
2004,1,1,12,0,200,676,639,167,789,679,0,24.564108869876122,985.5659790039062,19.82156059879936,49.553916223680396,0,1.8393322229385376,N/A
2004,1,1,13,0,190,687,623,165,778,655,0,24.52971607111664,984.839599609375,20.46517798295762,50.95944362838156,0,1.7015712261199951,N/A
2004,1,1,14,0,155,733,563,154,734,563,0,23.869465678041422,984.0404663085938,21.657969336607554,56.20407723195139,0,1.5258251428604126,N/A
2004,1,1,15,0,133,643,412,133,643,412,1,22.461748240336817,983.5795288085938,24.321216940630805,64.35176472347354,0,1.296897530555725,N/A
2004,1,1,16,0,98,456,221,97,466,223,6,20.05657860684886,983.9932861328125,41.760939490399586,74.44877799424422,0,1.1497321128845215,N/A
2004,1,1,17,0,16,0,16,30,111,38,5,17.55384477730388,984.0603637695312,44.302705841375214,85.80015069130404,0,1.101692795753479,N/A
2004,1,1,18,0,0,0,0,0,0,0,3,16.68656331288338,984.3052978515625,41.413804207929346,97.9635344193097,0,1.05274498462677,N/A
2004,1,1,19,0,0,0,0,0,0,0,3,15.9343495808194,984.671630859375,44.62509323900954,110.6545331639818,0,1.0266838073730469,N/A
2004,1,1,20,0,0,0,0,0,0,0,2,15.228600065486887,985.2887573242188,43.61832916923717,123.69516868045437,0,1.0365394353866577,N/A
2004,1,1,21,0,0,0,0,0,0,0,2,14.53812206279298,985.4631958007812,44.6197819761185,136.96240338919702,0,1.1598111391067505,N/A
2004,1,1,22,0,0,0,0,0,0,0,0,13.875033613569542,985.2166748046875,39.15043066877693,150.35760619818018,0,1.3230414390563965,N/A
2004,1,1,23,0,0,0,0,0,0,0,0,13.209438590009597,984.6593017578125,43.10205194286224,163.7452275108276,0,1.4845142364501953,N/A
2004,1,2,0,0,0,0,0,0,0,0,0,12.620797310853561,984.8212890625,40.16687575712941,175.8701112638206,0,1.7314866781234741,N/A
2004,1,2,1,0,0,0,0,0,0,0,1,12.054767839457725,984.6934814453125,48.675061636657695,168.15589908176253,0,2.012521743774414,N/A
2004,1,2,2,0,0,0,0,0,0,0,1,11.516866907325152,984.1531982421875,50.33728110741412,154.85214720667688,0,2.0455832481384277,N/A
2004,1,2,3,0,0,0,0,0,0,0,1,10.975888900476548,983.9852905273438,51.35840917076489,141.43650599820822,0,1.941182255744934,N/A
2004,1,2,4,0,0,0,0,0,0,0,1,10.50624262855996,983.9864501953125,52.24691504411943,128.11293305603368,0,1.8113880157470703,N/A
2004,1,2,5,0,0,0,0,0,0,0,0,10.063394153679667,984.4913330078125,53.07669143715953,114.98080875633954,0,1.6607624292373657,N/A
2004,1,2,6,0,0,0,0,0,0,0,0,9.667093869792723,985.0646362304688,53.84763171768782,102.15117471738293,0,1.5146565437316895,N/A
2004,1,2,7,0,0,0,0,3,3,3,0,10.886093249724013,985.9094848632812,50.196003659611776,89.77609737269395,0,1.4288721084594727,N/A
2004,1,2,8,0,84,359,158,81,380,159,2,14.082833831785535,986.7445678710938,45.73239966592026,78.10772408621246,0,1.3019919395446777,N/A
2004,1,2,9,0,124,606,356,124,606,356,1,17.049834713493624,987.5938720703125,36.25533045916483,67.51582025275376,0,0.9039008021354675,N/A
2004,1,2,10,0,141,718,516,149,719,524,2,21.676363355024762,987.2240600585938,27.624530531637344,58.606610726714365,0,0.7704492211341858,N/A
2004,1,2,11,0,163,776,638,163,776,638,1,24.611540577455855,986.2015380859375,22.812839066790737,52.259507991902304,0,0.730205774307251,N/A
2004,1,2,12,0,168,796,685,168,796,685,2,25.46963314873267,985.1737060546875,22.094261021691846,49.47784012810271,0,0.6073486804962158,N/A
