Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,19019,-,-,-,25.95,72.75,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Snow Depth,Wind Speed,
2012,1,1,0,0,0,0,0,0,0,0,-6,11.369888239146405,991.6683959960938,27.323618674865163,175.94310501395688,0,3.5321195125579834,N/A
2012,1,1,1,0,0,0,0,0,0,0,-6,10.791005168960055,991.2402954101562,28.390626128540415,168.7765356091586,0,3.517087936401367,N/A
2012,1,1,2,0,0,0,0,0,0,0,-6,10.270359213352833,991.1533203125,29.3987560577848,155.38208185462798,0,3.460294246673584,N/A
2012,1,1,3,0,0,0,0,0,0,0,-6,9.818290548178936,990.6427001953125,30.19317083043344,141.9124290954229,0,3.4049949645996094,N/A
2012,1,1,4,0,0,0,0,0,0,0,-6,9.38994492082611,990.494873046875,31.0246698204072,128.5407930912112,0,3.338610887527466,N/A
2012,1,1,5,0,0,0,0,0,0,0,2,9.968965579215762,993.8672485351562,59.502667631451224,115.30048602840687,0,4.43965482711792,N/A
2012,1,1,6,0,0,0,0,0,0,0,2,9.603200255449565,994.6332397460938,59.61509173745282,102.42005181945059,0,4.449606895446777,N/A
2012,1,1,7,0,0,0,0,2,1,2,2,10.286884567439927,995.0804443359375,56.561229659953725,89.98408159055661,0,4.362215995788574,N/A
2012,1,1,8,0,91,210,134,85,305,147,2,12.877442104982492,995.63671875,48.50364938923747,78.24040964636858,0,3.9206948280334473,N/A
2012,1,1,9,0,160,410,317,139,527,340,3,16.689658180612867,996.0619506835938,40.12489853278173,67.55128299805716,0,3.7000913619995117,N/A
