Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,19019,-,-,-,25.95,72.75,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Snow Depth,Wind Speed,
2007,1,1,0,0,0,0,0,0,0,0,-7,10.089682178032831,994.1165161132812,27.434179852736573,176.0447471781069,0,3.873791456222534,N/A
2007,1,1,1,0,0,0,0,0,0,0,-7,9.47251994943116,994.10302734375,29.11603036193361,168.7156625195382,0,3.6463708877563477,N/A
2007,1,1,2,0,0,0,0,0,0,0,-7,8.943653415654353,993.822021484375,30.43835453542996,155.31415179557905,0,3.516005039215088,N/A
2007,1,1,3,0,0,0,0,0,0,0,-7,8.475678695505621,993.9287109375,31.648310994578075,141.84581195103212,0,3.439241886138916,N/A
2007,1,1,4,0,0,0,0,0,0,0,-7,8.036736254597145,993.8587036132812,32.780614383979,128.4777063748595,0,3.3755247592926025,N/A
2007,1,1,5,0,0,0,0,0,0,0,1,11.692647958742214,994.9719848632812,49.15192899514952,115.31990312133448,0,0.44675666093826294,N/A
2007,1,1,6,0,0,0,0,0,0,0,2,11.295366964856726,995.8010864257812,54.982427029376055,102.43766817697419,0,0.3834340572357178,N/A
2007,1,1,7,0,0,0,0,2,3,2,1,12.347083155918881,996.6405029296875,49.09026357450282,89.99932113321844,0,0.40357115864753723,N/A
2007,1,1,8,0,97,185,135,79,359,153,3,15.231485247240016,997.469482421875,45.49726574895623,78.25244470497044,0,0.4656889736652374,N/A
2007,1,1,9,0,176,103,216,126,582,348,4,17.883311483291607,998.258544921875,40.98272535577958,67.55893638384168,0,0.4173210561275482,N/A
2007,1,1,10,0,216,500,478,152,696,516,4,21.832863915388543,998.089599609375,32.38544323484513,58.518740089613914,0,0.5219414234161377,N/A
2007,1,1,11,0,174,726,621,167,755,631,4,24.275206018631593,997.1209106445312,27.76771884066643,52.012537082249345,0,0.9137517213821411,N/A
2007,1,1,12,0,176,739,661,172,777,682,4,25.048248978954916,996.005126953125,27.16946475765137,49.0661342134134,0,1.0393048524856567,N/A
